商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,報酬率,訊息
華城,1519.TW,1,2015/01/06,買進,15.6,2015/04/10,賣出,16.5,60,0.051304,最大持有 60 期
美吾華,1731.TW,1,2015/01/06,買進,14.85,2015/04/10,賣出,15.15,60,0.014059,最大持有 60 期
潤隆,1808.TW,1,2015/01/06,買進,29,2015/04/10,賣出,34.75,60,0.191158,最大持有 60 期
震旦行,2373.TW,1,2015/01/06,買進,53.8,2015/04/10,賣出,53,60,-0.020766,最大持有 60 期
精技,2414.TW,1,2015/01/06,買進,17.95,2015/04/10,賣出,21.6,60,0.196123,最大持有 60 期
盟立,2464.TW,1,2015/01/06,買進,27.7,2015/04/10,賣出,29.65,60,0.063984,最大持有 60 期
立隆電,2472.TW,1,2015/01/06,買進,37.9,2015/04/10,賣出,39.65,60,0.03986,最大持有 60 期
國賓,2704.TW,1,2015/01/06,買進,28.1,2015/04/10,賣出,27.7,60,-0.02012,最大持有 60 期
華立,3010.TW,1,2015/01/06,買進,54.6,2015/04/10,賣出,55.2,60,0.004899,最大持有 60 期
全漢,3015.TW,1,2015/01/06,買進,26.1,2015/04/10,賣出,24.85,60,-0.053624,最大持有 60 期
先進光,3362.TW,1,2015/01/06,買進,28.4,2015/04/10,賣出,26.35,60,-0.077791,最大持有 60 期
維熹,3501.TW,1,2015/01/06,買進,49,2015/04/10,賣出,49.3,60,0.000051,最大持有 60 期
光頡,3624.TW,1,2015/01/06,買進,23.3,2015/04/10,賣出,22.95,60,-0.020891,最大持有 60 期
德微,3675.TW,1,2015/01/06,買進,23.95,2015/04/10,賣出,31,60,0.286535,最大持有 60 期
國精化,4722.TW,1,2015/01/06,買進,24.5,2015/04/10,賣出,29.25,60,0.18671,最大持有 60 期
華祺,5015.TW,1,2015/01/06,買進,24.9,2015/04/10,賣出,26.9,60,0.073849,最大持有 60 期
寶島科,5312.TW,1,2015/01/06,買進,86.4,2015/04/10,賣出,83.8,60,-0.035951,最大持有 60 期
崇越,5434.TW,1,2015/01/06,買進,56,2015/04/10,賣出,63.7,60,0.130673,最大持有 60 期
群益期,6024.TW,1,2015/01/06,買進,24.2,2015/04/10,賣出,25.35,60,0.041238,最大持有 60 期
鈞寶,6155.TW,1,2015/01/06,買進,23.5,2015/04/10,賣出,23.85,60,0.008754,最大持有 60 期
大豐電,6184.TW,1,2015/01/06,買進,51.4,2015/04/10,賣出,50.9,60,-0.015684,最大持有 60 期
慶生,6210.TW,1,2015/01/06,買進,45.5,2015/04/10,賣出,62.1,60,0.35664,最大持有 60 期
研通,6229.TW,1,2015/01/06,買進,16.6,2015/04/10,賣出,15.4,60,-0.077872,最大持有 60 期
方土昶,6265.TW,1,2015/01/06,買進,9.25,2015/04/10,賣出,9.59,60,0.030515,最大持有 60 期
潤隆,1808.TW,2,2015/01/07,買進,29.3,2015/04/13,賣出,36.2,60,0.228118,最大持有 60 期
精技,2414.TW,2,2015/01/07,買進,17.9,2015/04/13,賣出,21.85,60,0.213398,最大持有 60 期
國賓,2704.TW,2,2015/01/07,買進,28.2,2015/04/13,賣出,27.65,60,-0.025404,最大持有 60 期
華立,3010.TW,2,2015/01/07,買進,54,2015/04/13,賣出,55.7,60,0.025313,最大持有 60 期
德微,3675.TW,2,2015/01/07,買進,23.3,2015/04/13,賣出,30.6,60,0.30547,最大持有 60 期
大豐電,6184.TW,2,2015/01/07,買進,51,2015/04/13,賣出,52,60,0.013529,最大持有 60 期
台富,1454.TW,1,2015/01/08,買進,8.11,2015/04/14,賣出,11.85,60,0.452378,最大持有 60 期
元禎,1725.TW,1,2015/01/08,買進,15.5,2015/04/14,賣出,15.05,60,-0.035039,最大持有 60 期
潤隆,1808.TW,3,2015/01/08,買進,29.5,2015/04/14,賣出,37.3,60,0.256844,最大持有 60 期
精技,2414.TW,3,2015/01/08,買進,18.15,2015/04/14,賣出,21.9,60,0.199363,最大持有 60 期
嘉里大榮,2608.TW,1,2015/01/08,買進,39.8,2015/04/14,賣出,39.9,60,-0.003528,最大持有 60 期
高林,2906.TW,1,2015/01/08,買進,14.5,2015/04/14,賣出,15,60,0.028274,最大持有 60 期
華立,3010.TW,3,2015/01/08,買進,54.4,2015/04/14,賣出,56.2,60,0.026882,最大持有 60 期
艾華,6204.TW,1,2015/01/08,買進,24.8,2015/04/14,賣出,24.25,60,-0.028047,最大持有 60 期
青鋼,8930.TW,1,2015/01/08,買進,14.2,2015/04/14,賣出,13.75,60,-0.037554,最大持有 60 期
台富,1454.TW,2,2015/01/09,買進,8.05,2015/04/15,賣出,12.3,60,0.518808,最大持有 60 期
華城,1519.TW,2,2015/01/09,買進,15.7,2015/04/15,賣出,16.4,60,0.038246,最大持有 60 期
