商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,報酬率,訊息
台灣大,3045.TW,1,2015/01/06,買進,104,2015/04/10,賣出,108,60,0.032164,最大持有 60 期
豐泰,9910.TW,1,2015/01/06,買進,94.8,2015/04/10,賣出,172.5,60,0.808759,最大持有 60 期
豐泰,9910.TW,2,2015/01/07,買進,94,2015/04/13,賣出,179,60,0.892723,最大持有 60 期
大立光,3008.TW,1,2015/01/09,買進,2395,2015/04/15,賣出,2745,60,0.139191,最大持有 60 期
台灣大,3045.TW,2,2015/01/09,買進,104.5,2015/04/15,賣出,104.5,60,-0.005963,最大持有 60 期
新普,6121.TW,1,2015/01/09,買進,158.5,2015/04/15,賣出,156,60,-0.021698,最大持有 60 期
長榮,2603.TW,1,2015/01/12,買進,24.35,2015/04/16,賣出,23.1,60,-0.057048,最大持有 60 期
萬海,2615.TW,1,2015/01/12,買進,32.15,2015/04/16,賣出,37.6,60,0.162439,最大持有 60 期
台灣大,3045.TW,3,2015/01/12,買進,105,2015/04/16,賣出,104,60,-0.015375,最大持有 60 期
世界,5347.TW,1,2015/01/12,買進,52.9,2015/04/16,賣出,48.85,60,-0.082161,最大持有 60 期
寶成,9904.TW,1,2015/01/12,買進,39.6,2015/04/16,賣出,44.75,60,0.123272,最大持有 60 期
豐泰,9910.TW,3,2015/01/12,買進,96,2015/04/16,賣出,175.5,60,0.817212,最大持有 60 期
川湖,2059.TW,1,2015/01/13,買進,426,2015/04/17,賣出,475,60,0.108449,最大持有 60 期
長榮,2603.TW,2,2015/01/13,買進,24.6,2015/04/17,賣出,22.75,60,-0.080755,最大持有 60 期
萬海,2615.TW,2,2015/01/13,買進,32.1,2015/04/17,賣出,37.1,60,0.148876,最大持有 60 期
台灣大,3045.TW,4,2015/01/13,買進,108.5,2015/04/17,賣出,103.5,60,-0.051746,最大持有 60 期
寶成,9904.TW,2,2015/01/13,買進,39.8,2015/04/17,賣出,43.9,60,0.09639,最大持有 60 期
