商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,報酬率,訊息
喬鼎,3057.TW,1,2015/01/06,買進,37.3,2015/04/10,賣出,35.2,60,-0.061973,最大持有 60 期
光環,3234.TW,1,2015/01/06,買進,35.85,2015/04/10,賣出,56.1,60,0.555372,最大持有 60 期
眾達-KY,4977.TW,1,2015/01/06,買進,73.4,2015/04/10,賣出,85.4,60,0.156627,最大持有 60 期
眾達-KY,4977.TW,2,2015/01/07,買進,76.5,2015/04/13,賣出,87,60,0.130503,最大持有 60 期
德勝,8048.TW,1,2015/01/07,買進,30.6,2015/04/13,賣出,34,60,0.104497,最大持有 60 期
喬鼎,3057.TW,2,2015/01/08,買進,37.7,2015/04/14,賣出,36.6,60,-0.035029,最大持有 60 期
眾達-KY,4977.TW,3,2015/01/08,買進,78.5,2015/04/14,賣出,87.4,60,0.106667,最大持有 60 期
眾達-KY,4977.TW,4,2015/01/09,買進,78.8,2015/04/15,賣出,88.3,60,0.113841,最大持有 60 期
聰泰,5474.TW,1,2015/01/09,買進,47.4,2015/04/15,賣出,97,60,1.034217,最大持有 60 期
德勝,8048.TW,2,2015/01/09,買進,30.7,2015/04/15,賣出,34,60,0.100889,最大持有 60 期
全友,2305.TW,1,2015/01/12,買進,10.3,2015/04/16,賣出,9.1,60,-0.121699,最大持有 60 期
建準,2421.TW,1,2015/01/12,買進,20.2,2015/04/16,賣出,21.95,60,0.080075,最大持有 60 期
資通,2471.TW,1,2015/01/12,買進,16.45,2015/04/16,賣出,17.65,60,0.066501,最大持有 60 期
艾訊,3088.TW,1,2015/01/12,買進,76.8,2015/04/16,賣出,79.2,60,0.024989,最大持有 60 期
眾達-KY,4977.TW,5,2015/01/12,買進,78.3,2015/04/16,賣出,88,60,0.117313,最大持有 60 期
聰泰,5474.TW,2,2015/01/12,買進,51.2,2015/04/16,賣出,103.5,60,1.009374,最大持有 60 期
居易,6216.TW,1,2015/01/12,買進,26.5,2015/04/16,賣出,31.7,60,0.1891,最大持有 60 期
立端,6245.TW,1,2015/01/12,買進,47.05,2015/04/16,賣出,51.2,60,0.081639,最大持有 60 期
帝寶,6605.TW,1,2015/01/12,買進,119,2015/04/16,賣出,138.5,60,0.156893,最大持有 60 期
德勝,8048.TW,3,2015/01/12,買進,30.8,2015/04/16,賣出,33.6,60,0.084373,最大持有 60 期
實威,8416.TW,1,2015/01/12,買進,131.5,2015/04/16,賣出,147.5,60,0.114927,最大持有 60 期
全友,2305.TW,2,2015/01/13,買進,11.1,2015/04/17,賣出,8.92,60,-0.201324,最大持有 60 期
建準,2421.TW,2,2015/01/13,買進,19.9,2015/04/17,賣出,21.65,60,0.08147,最大持有 60 期
資通,2471.TW,2,2015/01/13,買進,16.35,2015/04/17,賣出,17.6,60,0.069994,最大持有 60 期
光環,3234.TW,2,2015/01/13,買進,38,2015/04/17,賣出,58.5,60,0.530426,最大持有 60 期
聚積,3527.TW,1,2015/01/13,買進,68.5,2015/04/17,賣出,69.6,60,0.009949,最大持有 60 期
智易,3596.TW,1,2015/01/13,買進,45.75,2015/04/17,賣出,43.8,60,-0.04839,最大持有 60 期
眾達-KY,4977.TW,6,2015/01/13,買進,82.3,2015/04/17,賣出,89,60,0.074895,最大持有 60 期
聰泰,5474.TW,3,2015/01/13,買進,53,2015/04/17,賣出,110,60,1.062844,最大持有 60 期
居易,6216.TW,2,2015/01/13,買進,26.9,2015/04/17,賣出,31.65,60,0.169505,最大持有 60 期
立端,6245.TW,2,2015/01/13,買進,47.1,2015/04/17,賣出,50.7,60,0.06996,最大持有 60 期
