商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,報酬率,訊息
廣豐,1416.TW,1,2015/01/06,買進,17.8,2015/04/10,賣出,17.95,60,0.002351,最大持有 60 期
台驊控股,2636.TW,1,2015/01/06,買進,38.8,2015/04/10,賣出,33.55,60,-0.140565,最大持有 60 期
漢科,3402.TW,1,2015/01/06,買進,16.4,2015/04/10,賣出,15.4,60,-0.066534,最大持有 60 期
金洲,4417.TW,1,2015/01/06,買進,32.95,2015/04/10,賣出,26.8,60,-0.19153,最大持有 60 期
華星光,4979.TW,1,2015/01/06,買進,62,2015/04/10,賣出,70,60,0.122235,最大持有 60 期
雷科,6207.TW,1,2015/01/06,買進,27.5,2015/04/10,賣出,27.5,60,-0.005996,最大持有 60 期
廣豐,1416.TW,2,2015/01/07,買進,17.6,2015/04/13,賣出,17.95,60,0.013768,最大持有 60 期
台驊控股,2636.TW,2,2015/01/07,買進,38,2015/04/13,賣出,33.3,60,-0.129016,最大持有 60 期
漢科,3402.TW,2,2015/01/07,買進,17.1,2015/04/13,賣出,15.7,60,-0.087356,最大持有 60 期
金洲,4417.TW,2,2015/01/07,買進,33.3,2015/04/13,賣出,27.3,60,-0.185125,最大持有 60 期
江興鍛,4528.TW,1,2015/01/07,買進,41.35,2015/04/13,賣出,60,60,0.442188,最大持有 60 期
華星光,4979.TW,2,2015/01/07,買進,61,2015/04/13,賣出,73.4,60,0.196099,最大持有 60 期
雷科,6207.TW,2,2015/01/07,買進,27.5,2015/04/13,賣出,27.5,60,-0.005943,最大持有 60 期
廣豐,1416.TW,3,2015/01/08,買進,17.6,2015/04/14,賣出,17.9,60,0.010995,最大持有 60 期
台驊控股,2636.TW,3,2015/01/08,買進,37.3,2015/04/14,賣出,33.05,60,-0.119264,最大持有 60 期
漢科,3402.TW,3,2015/01/08,買進,17.6,2015/04/14,賣出,15.85,60,-0.104947,最大持有 60 期
金洲,4417.TW,3,2015/01/08,買進,33.5,2015/04/14,賣出,27.05,60,-0.19743,最大持有 60 期
江興鍛,4528.TW,2,2015/01/08,買進,40.3,2015/04/14,賣出,59.3,60,0.462615,最大持有 60 期
華星光,4979.TW,3,2015/01/08,買進,62.7,2015/04/14,賣出,73.5,60,0.165215,最大持有 60 期
雷科,6207.TW,3,2015/01/08,買進,29.9,2015/04/14,賣出,27.6,60,-0.082549,最大持有 60 期
廣豐,1416.TW,4,2015/01/09,買進,17.85,2015/04/15,賣出,17.8,60,-0.008734,最大持有 60 期
大立光,3008.TW,1,2015/01/09,買進,2395,2015/04/15,賣出,2745,60,0.139191,最大持有 60 期
漢科,3402.TW,4,2015/01/09,買進,17.15,2015/04/15,賣出,15.6,60,-0.095837,最大持有 60 期
金洲,4417.TW,4,2015/01/09,買進,33,2015/04/15,賣出,27,60,-0.18675,最大持有 60 期
江興鍛,4528.TW,3,2015/01/09,買進,40.4,2015/04/15,賣出,61.9,60,0.522822,最大持有 60 期
華星光,4979.TW,4,2015/01/09,買進,63.5,2015/04/15,賣出,72.3,60,0.13161,最大持有 60 期
雷科,6207.TW,4,2015/01/09,買進,29.2,2015/04/15,賣出,27.8,60,-0.053694,最大持有 60 期
永裕,1323.TW,1,2015/01/12,買進,36,2015/04/16,賣出,36.85,60,0.017609,最大持有 60 期
廣豐,1416.TW,5,2015/01/12,買進,18.75,2015/04/16,賣出,18,60,-0.04583,最大持有 60 期
潤隆,1808.TW,1,2015/01/12,買進,30,2015/04/16,賣出,36.85,60,0.220887,最大持有 60 期
嘉里大榮,2608.TW,1,2015/01/12,買進,40,2015/04/16,賣出,39.9,60,-0.008487,最大持有 60 期
漢科,3402.TW,5,2015/01/12,買進,17.6,2015/04/16,賣出,15.6,60,-0.118888,最大持有 60 期
國精化,4722.TW,1,2015/01/12,買進,25.1,2015/04/16,賣出,29.7,60,0.176178,最大持有 60 期
茂林-KY,4935.TW,1,2015/01/12,買進,44.45,2015/04/16,賣出,44.35,60,-0.008268,最大持有 60 期
鈞寶,6155.TW,1,2015/01/12,買進,23.15,2015/04/16,賣出,24.7,60,0.060535,最大持有 60 期
雷科,6207.TW,5,2015/01/12,買進,29.1,2015/04/16,賣出,27.45,60,-0.062328,最大持有 60 期
永裕,1323.TW,2,2015/01/13,買進,38,2015/04/17,賣出,36.65,60,-0.041347,最大持有 60 期
廣豐,1416.TW,6,2015/01/13,買進,18.25,2015/04/17,賣出,18,60,-0.019624,最大持有 60 期
亞力,1514.TW,1,2015/01/13,買進,9.74,2015/04/17,賣出,10.45,60,0.066438,最大持有 60 期
中宇,1535.TW,1,2015/01/13,買進,69.3,2015/04/17,賣出,76.4,60,0.095834,最大持有 60 期
盟立,2464.TW,1,2015/01/13,買進,28.15,2015/04/17,賣出,29.9,60,0.055815,最大持有 60 期
嘉里大榮,2608.TW,2,2015/01/13,買進,39.85,2015/04/17,賣出,40.05,60,-0.001025,最大持有 60 期
漢科,3402.TW,6,2015/01/13,買進,18.1,2015/04/17,賣出,15.6,60,-0.143321,最大持有 60 期
盈正,3628.TW,1,2015/01/13,買進,53.9,2015/04/17,賣出,73.6,60,0.357273,最大持有 60 期
國精化,4722.TW,2,2015/01/13,買進,25.3,2015/04/17,賣出,29.9,60,0.174724,最大持有 60 期
茂林-KY,4935.TW,2,2015/01/13,買進,44,2015/04/17,賣出,44.45,60,0.004137,最大持有 60 期
崇越,5434.TW,1,2015/01/13,買進,57.2,2015/04/17,賣出,62.1,60,0.079131,最大持有 60 期
雷科,6207.TW,6,2015/01/13,買進,29.5,2015/04/17,賣出,27.35,60,-0.078436,最大持有 60 期
宏正,6277.TW,1,2015/01/13,買進,83.6,2015/04/17,賣出,92.2,60,0.096256,最大持有 60 期
