商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,報酬率,訊息
燦坤,2430.TW,1,2016/03/01,買進,22.35,2016/05/27,賣出,24.25,60,0.131568,最大持有 60 期
燦坤,2430.TW,2,2016/03/02,買進,22.45,2016/05/30,賣出,24.2,60,0.124227,最大持有 60 期
燦坤,2430.TW,3,2016/03/03,買進,22.85,2016/05/31,賣出,24.05,60,0.097657,最大持有 60 期
燦坤,2430.TW,4,2016/03/04,買進,22.9,2016/06/01,賣出,24.5,60,0.115783,最大持有 60 期
燦坤,2430.TW,5,2016/03/07,買進,23.05,2016/06/02,賣出,25.1,60,0.135747,最大持有 60 期
燦坤,2430.TW,6,2016/03/08,買進,23.8,2016/06/03,賣出,25,60,0.095421,最大持有 60 期
燦坤,2430.TW,7,2016/03/09,買進,23.4,2016/06/04,賣出,24.65,60,0.09866,最大持有 60 期
燦坤,2430.TW,8,2016/03/10,買進,23.8,2016/06/06,賣出,25,60,0.095498,最大持有 60 期
佶優,5452.TW,1,2016/07/25,買進,12.85,2016/10/21,賣出,9.35,60,-0.26278,最大持有 60 期
達方,8163.TW,1,2016/09/09,買進,19.2,2016/12/08,賣出,20.25,60,0.048385,最大持有 60 期
達方,8163.TW,2,2016/09/10,買進,19.05,2016/12/09,賣出,21,60,0.095792,最大持有 60 期
達方,8163.TW,3,2016/09/12,買進,19.4,2016/12/12,賣出,20.85,60,0.068278,最大持有 60 期
達方,8163.TW,4,2016/09/13,買進,19.25,2016/12/13,賣出,20.65,60,0.066292,最大持有 60 期
達方,8163.TW,5,2016/09/21,買進,19.35,2016/12/19,賣出,21.3,60,0.094163,最大持有 60 期
達方,8163.TW,6,2016/09/22,買進,19.5,2016/12/20,賣出,21.25,60,0.083164,最大持有 60 期
達方,8163.TW,7,2016/09/23,買進,19.35,2016/12/21,賣出,21.2,60,0.089035,最大持有 60 期
達方,8163.TW,8,2016/09/26,買進,19.35,2016/12/22,賣出,21.2,60,0.089009,最大持有 60 期
海灣,3252.TW,1,2016/10/25,買進,28.05,2017/01/18,賣出,22.2,60,-0.213422,最大持有 60 期
海灣,3252.TW,2,2016/10/26,買進,27,2017/01/19,賣出,22.85,60,-0.158779,最大持有 60 期
海灣,3252.TW,3,2016/10/27,買進,27.5,2017/01/20,賣出,23.35,60,-0.156038,最大持有 60 期
海灣,3252.TW,4,2016/10/28,買進,27.1,2017/01/23,賣出,23.9,60,-0.123592,最大持有 60 期
旺旺保,2816.TW,1,2016/11/29,買進,16.95,2017/03/03,賣出,15.95,60,-0.064849,最大持有 60 期
旺旺保,2816.TW,2,2016/11/30,買進,15.75,2017/03/06,賣出,16.1,60,0.016183,最大持有 60 期
旺旺保,2816.TW,3,2016/12/01,買進,16.15,2017/03/07,賣出,16.2,60,-0.002923,最大持有 60 期
旺旺保,2816.TW,4,2016/12/02,買進,16.3,2017/03/08,賣出,15.95,60,-0.027256,最大持有 60 期
旺旺保,2816.TW,5,2016/12/05,買進,16.9,2017/03/09,賣出,16.25,60,-0.04431,最大持有 60 期
旺旺保,2816.TW,6,2016/12/06,買進,16.75,2017/03/10,賣出,15.65,60,-0.071382,最大持有 60 期
旺旺保,2816.TW,7,2016/12/08,買進,17.1,2017/03/14,賣出,15.5,60,-0.099096,最大持有 60 期
台榮,1220.TW,1,2016/12/12,買進,10.85,2017/03/16,賣出,11,60,0.007765,最大持有 60 期
台榮,1220.TW,2,2016/12/13,買進,10.9,2017/03/17,賣出,11,60,0.003142,最大持有 60 期
和成,1810.TW,1,2016/12/13,買進,9.18,2017/03/17,賣出,10.25,60,0.109868,最大持有 60 期
台榮,1220.TW,3,2016/12/14,買進,11,2017/03/20,賣出,11.05,60,-0.0015,最大持有 60 期
台榮,1220.TW,4,2016/12/15,買進,10.9,2017/03/21,賣出,11.1,60,0.012275,最大持有 60 期
和成,1810.TW,2,2016/12/15,買進,9.2,2017/03/21,賣出,10.25,60,0.107448,最大持有 60 期
台榮,1220.TW,5,2016/12/16,買進,10.95,2017/03/22,賣出,11.15,60,0.012164,最大持有 60 期
和成,1810.TW,3,2016/12/16,買進,9.18,2017/03/22,賣出,10.05,60,0.088212,最大持有 60 期
台榮,1220.TW,6,2016/12/19,買進,10.95,2017/03/23,賣出,11.15,60,0.012122,最大持有 60 期
和成,1810.TW,4,2017/01/05,買進,9.23,2017/04/12,賣出,9.31,60,0.002673,最大持有 60 期
仲琦,2419.TW,1,2017/01/05,買進,20.5,2017/04/12,賣出,23.7,60,0.14918,最大持有 60 期
和成,1810.TW,5,2017/01/06,買進,9.36,2017/04/13,賣出,9.25,60,-0.017645,最大持有 60 期
仲琦,2419.TW,2,2017/01/06,買進,20.7,2017/04/13,賣出,22.9,60,0.099587,最大持有 60 期
和成,1810.TW,6,2017/01/09,買進,9.45,2017/04/14,賣出,9.23,60,-0.029154,最大持有 60 期
和成,1810.TW,7,2017/01/10,買進,9.35,2017/04/17,賣出,9.12,60,-0.030443,最大持有 60 期
仲琦,2419.TW,3,2017/01/10,買進,20.65,2017/04/17,賣出,22.3,60,0.07348,最大持有 60 期
富強鑫,6603.TW,1,2017/01/10,買進,11.4,2017/04/17,賣出,12.8,60,0.11602,最大持有 60 期
仲琦,2419.TW,4,2017/01/11,買進,21.15,2017/04/18,賣出,22.5,60,0.057371,最大持有 60 期
富強鑫,6603.TW,2,2017/01/11,買進,11.3,2017/04/18,賣出,12.3,60,0.082003,最大持有 60 期
仲琦,2419.TW,5,2017/01/12,買進,20.85,2017/04/19,賣出,22.25,60,0.060691,最大持有 60 期
富強鑫,6603.TW,3,2017/01/12,買進,11.4,2017/04/19,賣出,12.15,60,0.059376,最大持有 60 期
台化,1326.TW,1,2017/01/13,買進,98,2017/04/20,賣出,93.1,60,-0.055671,最大持有 60 期
富強鑫,6603.TW,4,2017/01/13,買進,11.2,2017/04/20,賣出,11.9,60,0.056163,最大持有 60 期
富強鑫,6603.TW,5,2017/01/16,買進,11.25,2017/04/21,賣出,11.8,60,0.042619,最大持有 60 期
和成,1810.TW,8,2017/01/18,買進,9.34,2017/04/25,賣出,9.15,60,-0.026202,最大持有 60 期
富強鑫,6603.TW,6,2017/01/18,買進,11.45,2017/04/25,賣出,11.9,60,0.03302,最大持有 60 期
和成,1810.TW,9,2017/01/19,買進,9.38,2017/04/26,賣出,9.13,60,-0.032484,最大持有 60 期
和成,1810.TW,10,2017/01/20,買進,9.4,2017/04/27,賣出,9.14,60,-0.033457,最大持有 60 期
和成,1810.TW,11,2017/01/23,買進,9.54,2017/04/28,賣出,9.18,60,-0.043477,最大持有 60 期
和成,1810.TW,12,2017/01/24,買進,9.7,2017/05/02,賣出,9.2,60,-0.057226,最大持有 60 期
富強鑫,6603.TW,7,2017/01/24,買進,11.4,2017/05/02,賣出,12,60,0.046325,最大持有 60 期
和成,1810.TW,13,2017/02/02,買進,9.9,2017/05/03,賣出,9.22,60,-0.074211,最大持有 60 期
富強鑫,6603.TW,8,2017/02/02,買進,11.45,2017/05/03,賣出,12.05,60,0.046083,最大持有 60 期
和成,1810.TW,14,2017/02/03,買進,10.05,2017/05/04,賣出,9.22,60,-0.088056,最大持有 60 期
和成,1810.TW,15,2017/02/06,買進,10.2,2017/05/05,賣出,9.51,60,-0.073274,最大持有 60 期
和成,1810.TW,16,2017/02/07,買進,10,2017/05/08,賣出,9.41,60,-0.064596,最大持有 60 期
旺旺保,2816.TW,8,2017/02/07,買進,16.9,2017/05/08,賣出,13.75,60,-0.191331,最大持有 60 期
富強鑫,6603.TW,9,2017/02/07,買進,11.85,2017/05/08,賣出,11.85,60,-0.006004,最大持有 60 期
和成,1810.TW,17,2017/02/08,買進,10.2,2017/05/09,賣出,9.27,60,-0.096608,最大持有 60 期
旺旺保,2816.TW,9,2017/02/08,買進,16.45,2017/05/09,賣出,13.65,60,-0.17527,最大持有 60 期
富強鑫,6603.TW,10,2017/02/08,買進,11.9,2017/05/09,賣出,11.85,60,-0.010094,最大持有 60 期
和成,1810.TW,18,2017/02/09,買進,10.35,2017/05/10,賣出,8.99,60,-0.136643,最大持有 60 期
旺旺保,2816.TW,10,2017/02/09,買進,15.8,2017/05/10,賣出,13.6,60,-0.144365,最大持有 60 期
富強鑫,6603.TW,11,2017/02/09,買進,12.45,2017/05/10,賣出,11.75,60,-0.061937,最大持有 60 期
和成,1810.TW,19,2017/02/10,買進,10.3,2017/05/11,賣出,8.93,60,-0.138255,最大持有 60 期
旺旺保,2816.TW,11,2017/02/10,買進,16.2,2017/05/11,賣出,13.6,60,-0.165555,最大持有 60 期
富強鑫,6603.TW,12,2017/02/10,買進,12.35,2017/05/11,賣出,11.55,60,-0.070426,最大持有 60 期
旺旺保,2816.TW,12,2017/02/14,買進,16.15,2017/05/15,賣出,14.15,60,-0.129121,最大持有 60 期
台化,1326.TW,2,2017/02/15,買進,99,2017/05/16,賣出,89.4,60,-0.102366,最大持有 60 期
台化,1326.TW,3,2017/02/16,買進,99.6,2017/05/17,賣出,89.8,60,-0.103825,最大持有 60 期
旺旺保,2816.TW,13,2017/02/16,買進,16.35,2017/05/17,賣出,14.5,60,-0.118504,最大持有 60 期
旺旺保,2816.TW,14,2017/02/17,買進,16,2017/05/18,賣出,14.6,60,-0.09295,最大持有 60 期
旺旺保,2816.TW,15,2017/02/18,買進,16.1,2017/05/19,賣出,14.75,60,-0.089348,最大持有 60 期
台化,1326.TW,4,2017/02/22,買進,98.8,2017/05/24,賣出,91.1,60,-0.083468,最大持有 60 期
台化,1326.TW,5,2017/02/23,買進,98.2,2017/05/25,賣出,90,60,-0.089013,最大持有 60 期
立德,3058.TW,1,2017/04/14,買進,11.3,2017/07/11,賣出,10.05,60,-0.116033,最大持有 60 期
先益,3531.TW,1,2017/06/09,買進,27.3,2017/09/01,賣出,32.1,60,0.214026,最大持有 60 期
先益,3531.TW,2,2017/06/27,買進,27.35,2017/09/19,賣出,32,60,0.20818,最大持有 60 期
先益,3531.TW,3,2017/06/28,買進,27.7,2017/09/20,賣出,31.65,60,0.179777,最大持有 60 期
先益,3531.TW,4,2017/06/30,買進,27,2017/09/22,賣出,32,60,0.223829,最大持有 60 期
萬海,2615.TW,1,2017/07/04,買進,18.35,2017/09/26,賣出,18.55,60,0.024931,最大持有 60 期
萬海,2615.TW,2,2017/07/05,買進,18.3,2017/09/27,賣出,18.65,60,0.033297,最大持有 60 期
萬海,2615.TW,3,2017/07/06,買進,18.4,2017/09/28,賣出,18.9,60,0.04138,最大持有 60 期
萬海,2615.TW,4,2017/07/07,買進,17.95,2017/09/29,賣出,18.4,60,0.039333,最大持有 60 期
皇翔,2545.TW,1,2017/07/21,買進,42.7,2017/10/17,賣出,30.55,60,-0.204938,最大持有 60 期
皇翔,2545.TW,2,2017/07/24,買進,42.8,2017/10/18,賣出,30.1,60,-0.218479,最大持有 60 期
皇翔,2545.TW,3,2017/07/25,買進,42.9,2017/10/19,賣出,29.75,60,-0.229386,最大持有 60 期
台新新光金,2887.TW,1,2017/08/08,買進,14.4,2017/11/02,賣出,13.2,60,-0.010521,最大持有 60 期
台新新光金,2887.TW,2,2017/08/09,買進,14.4,2017/11/03,賣出,13.25,60,-0.006783,最大持有 60 期
廣宇,2328.TW,1,2017/08/10,買進,29.2,2017/11/06,賣出,25.45,60,-0.111358,最大持有 60 期
萬海,2615.TW,5,2017/08/17,買進,19,2017/11/13,賣出,18.4,60,-0.018121,最大持有 60 期
萬海,2615.TW,6,2017/08/18,買進,18.85,2017/11/14,賣出,18.25,60,-0.018352,最大持有 60 期
萬海,2615.TW,7,2017/08/21,買進,19.4,2017/11/15,賣出,18.3,60,-0.043592,最大持有 60 期
萬海,2615.TW,8,2017/08/22,買進,19.5,2017/11/16,賣出,18.2,60,-0.05374,最大持有 60 期
萬海,2615.TW,9,2017/08/23,買進,19.3,2017/11/17,賣出,18.2,60,-0.043935,最大持有 60 期
萬海,2615.TW,10,2017/08/25,買進,19.45,2017/11/21,賣出,18.6,60,-0.030237,最大持有 60 期
萬海,2615.TW,11,2017/08/28,買進,21,2017/11/22,賣出,18.45,60,-0.109312,最大持有 60 期
萬海,2615.TW,12,2017/08/29,買進,20.35,2017/11/23,賣出,18.55,60,-0.075785,最大持有 60 期
萬海,2615.TW,13,2017/08/30,買進,20.15,2017/11/24,賣出,18.5,60,-0.087326,最大持有 60 期
旺旺保,2816.TW,16,2017/08/30,買進,15.5,2017/11/24,賣出,20.6,60,0.321005,最大持有 60 期
萬海,2615.TW,14,2017/08/31,買進,20.6,2017/11/27,賣出,19.5,60,-0.059015,最大持有 60 期
萬海,2615.TW,15,2017/09/01,買進,21.2,2017/11/28,賣出,19.3,60,-0.095103,最大持有 60 期
旺旺保,2816.TW,17,2017/09/01,買進,15.7,2017/11/28,賣出,20.05,60,0.269395,最大持有 60 期
萬海,2615.TW,16,2017/09/04,買進,20.65,2017/11/29,賣出,19.25,60,-0.073402,最大持有 60 期
旺旺保,2816.TW,18,2017/09/04,買進,15.5,2017/11/29,賣出,19.9,60,0.276179,最大持有 60 期
旺旺保,2816.TW,19,2017/09/05,買進,15.5,2017/11/30,賣出,19.55,60,0.253746,最大持有 60 期
旺旺保,2816.TW,20,2017/09/06,買進,15.55,2017/12/01,賣出,19.65,60,0.256131,最大持有 60 期
旺旺保,2816.TW,21,2017/09/07,買進,15.55,2017/12/04,賣出,21.3,60,0.361633,最大持有 60 期
國喬,1312.TW,1,2017/09/08,買進,27,2017/12/05,賣出,30,60,0.104423,最大持有 60 期
旺旺保,2816.TW,22,2017/09/08,買進,15.8,2017/12/05,賣出,21.85,60,0.374691,最大持有 60 期
國喬,1312.TW,2,2017/09/11,買進,27,2017/12/06,賣出,28,60,0.030813,最大持有 60 期
萬海,2615.TW,17,2017/09/11,買進,20.5,2017/12/06,賣出,20.2,60,-0.020523,最大持有 60 期
先益,3531.TW,5,2017/09/11,買進,32.4,2017/12/06,賣出,27.95,60,-0.142422,最大持有 60 期
