商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,報酬率,訊息
華盈,3520.TW,1,2015/01/13,買進,156.5,2015/04/17,賣出,99.9,60,-0.36545,最大持有 60 期
華盈,3520.TW,2,2015/01/14,買進,159.5,2015/04/20,賣出,99.5,60,-0.379901,最大持有 60 期
華盈,3520.TW,3,2015/01/15,買進,158,2015/04/21,賣出,99,60,-0.377265,最大持有 60 期
金雨,4503.TW,1,2015/01/21,買進,17,2015/04/27,賣出,16.95,60,-0.009005,最大持有 60 期
慶生,6210.TW,1,2015/01/23,買進,47.5,2015/04/29,賣出,64.2,60,0.34346,最大持有 60 期
弘帆,8433.TW,1,2015/01/23,買進,48.4,2015/04/29,賣出,88,60,0.807278,最大持有 60 期
寶雅,5904.TW,1,2015/01/26,買進,263.5,2015/04/30,賣出,328.5,60,0.239189,最大持有 60 期
金雨,4503.TW,2,2015/01/27,買進,17,2015/05/04,賣出,16.25,60,-0.049878,最大持有 60 期
寶雅,5904.TW,2,2015/01/28,買進,269,2015/05/05,賣出,338.5,60,0.250804,最大持有 60 期
盈正,3628.TW,1,2015/01/30,買進,61.2,2015/05/07,賣出,65.8,60,0.068625,最大持有 60 期
弘帆,8433.TW,2,2015/01/30,買進,51,2015/05/07,賣出,76.9,60,0.498682,最大持有 60 期
雋揚,1439.TW,1,2015/02/04,買進,15.05,2015/05/12,賣出,15.3,60,0.010448,最大持有 60 期
慶生,6210.TW,2,2015/02/05,買進,47.95,2015/05/13,賣出,63.1,60,0.308074,最大持有 60 期
來思達,8066.TW,1,2015/02/05,買進,88.5,2015/05/13,賣出,105,60,0.179453,最大持有 60 期
弘帆,8433.TW,3,2015/02/05,買進,51.5,2015/05/13,賣出,83.4,60,0.609835,最大持有 60 期
寶雅,5904.TW,3,2015/02/06,買進,275,2015/05/14,賣出,370,60,0.337319,最大持有 60 期
慶生,6210.TW,3,2015/02/06,買進,48,2015/05/14,賣出,64.2,60,0.329474,最大持有 60 期
來思達,8066.TW,2,2015/02/06,買進,91.6,2015/05/14,賣出,105.5,60,0.144824,最大持有 60 期
