商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,報酬率,訊息
精元,2387.TW,1,2015/01/06,買進,21.5,2015/04/10,賣出,20.65,60,-0.04523,最大持有 60 期
南亞科,2408.TW,1,2015/01/06,買進,86.4,2015/04/10,賣出,69.9,60,-0.19593,最大持有 60 期
友達,2409.TW,1,2015/01/06,買進,17.25,2015/04/10,賣出,14.9,60,-0.141414,最大持有 60 期
百容,2483.TW,1,2015/01/06,買進,25.7,2015/04/10,賣出,25.85,60,-0.000066,最大持有 60 期
長榮,2603.TW,1,2015/01/06,買進,22.45,2015/04/10,賣出,23.1,60,0.022754,最大持有 60 期
志信,2611.TW,1,2015/01/06,買進,12.7,2015/04/10,賣出,11.25,60,-0.11938,最大持有 60 期
台驊控股,2636.TW,1,2015/01/06,買進,38.8,2015/04/10,賣出,33.55,60,-0.140565,最大持有 60 期
微端,3285.TW,1,2015/01/06,買進,51.8,2015/04/10,賣出,47.45,60,-0.089319,最大持有 60 期
群創,3481.TW,1,2015/01/06,買進,16.2,2015/04/10,賣出,15.25,60,-0.064326,最大持有 60 期
崧騰,3484.TW,1,2015/01/06,買進,45.2,2015/04/10,賣出,73.2,60,0.609777,最大持有 60 期
金洲,4417.TW,1,2015/01/06,買進,32.95,2015/04/10,賣出,26.8,60,-0.19153,最大持有 60 期
華星光,4979.TW,1,2015/01/06,買進,62,2015/04/10,賣出,70,60,0.122235,最大持有 60 期
競國,6108.TW,1,2015/01/06,買進,24,2015/04/10,賣出,21.5,60,-0.109534,最大持有 60 期
宏捷科,8086.TW,1,2015/01/06,買進,42,2015/04/10,賣出,65.2,60,0.543058,最大持有 60 期
志超,8213.TW,1,2015/01/06,買進,52.7,2015/04/10,賣出,51,60,-0.0381,最大持有 60 期
精元,2387.TW,2,2015/01/07,買進,22.2,2015/04/13,賣出,20.65,60,-0.075302,最大持有 60 期
百容,2483.TW,2,2015/01/07,買進,26.8,2015/04/13,賣出,25.6,60,-0.050705,最大持有 60 期
華航,2610.TW,1,2015/01/07,買進,15.25,2015/04/13,賣出,17.9,60,0.166871,最大持有 60 期
志信,2611.TW,2,2015/01/07,買進,13.4,2015/04/13,賣出,11.1,60,-0.176633,最大持有 60 期
力特,3051.TW,1,2015/01/07,買進,6.51,2015/04/13,賣出,11.8,60,0.802116,最大持有 60 期
穩懋,3105.TW,1,2015/01/07,買進,32.1,2015/04/13,賣出,41.65,60,0.289692,最大持有 60 期
微端,3285.TW,2,2015/01/07,買進,52.1,2015/04/13,賣出,47.7,60,-0.089922,最大持有 60 期
中探針,6217.TW,1,2015/01/07,買進,51,2015/04/13,賣出,52.2,60,0.017256,最大持有 60 期
台火,9902.TW,1,2015/01/07,買進,17.45,2015/04/13,賣出,17.55,60,-0.000347,最大持有 60 期
精元,2387.TW,3,2015/01/08,買進,22.95,2015/04/14,賣出,20.65,60,-0.105693,最大持有 60 期
友達,2409.TW,2,2015/01/08,買進,18.3,2015/04/14,賣出,15.25,60,-0.17158,最大持有 60 期
長榮,2603.TW,2,2015/01/08,買進,23.75,2015/04/14,賣出,23.7,60,-0.008208,最大持有 60 期
陽明,2609.TW,1,2015/01/08,買進,17.3,2015/04/14,賣出,18.3,60,0.051372,最大持有 60 期
華航,2610.TW,2,2015/01/08,買進,16,2015/04/14,賣出,17.7,60,0.099591,最大持有 60 期
志信,2611.TW,3,2015/01/08,買進,13.1,2015/04/14,賣出,11.05,60,-0.161581,最大持有 60 期
萬海,2615.TW,1,2015/01/08,買進,30.5,2015/04/14,賣出,38.25,60,0.246766,最大持有 60 期
憶聲,3024.TW,1,2015/01/08,買進,7.28,2015/04/14,賣出,6.19,60,-0.15491,最大持有 60 期
力特,3051.TW,2,2015/01/08,買進,7.24,2015/04/14,賣出,12.4,60,0.702591,最大持有 60 期
