商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,報酬率,訊息
廣豐,1416.TW,1,2015/01/06,買進,17.8,2015/04/10,賣出,17.95,60,0.002351,最大持有 60 期
南僑,1702.TW,1,2015/01/06,買進,55.4,2015/04/10,賣出,68.1,60,0.221851,最大持有 60 期
漢唐,2404.TW,1,2015/01/06,買進,30.4,2015/04/10,賣出,34.1,60,0.114963,最大持有 60 期
國眾,5410.TW,1,2015/01/06,買進,12.65,2015/04/10,賣出,13.45,60,0.056794,最大持有 60 期
台郡,6269.TW,1,2015/01/06,買進,68.9,2015/04/10,賣出,96,60,0.385042,最大持有 60 期
廣豐,1416.TW,2,2015/01/07,買進,17.6,2015/04/13,賣出,17.95,60,0.013768,最大持有 60 期
中菲行,5609.TW,1,2015/01/07,買進,24.45,2015/04/13,賣出,22.1,60,-0.101497,最大持有 60 期
廣豐,1416.TW,3,2015/01/08,買進,17.6,2015/04/14,賣出,17.9,60,0.010995,最大持有 60 期
漢唐,2404.TW,2,2015/01/08,買進,30.45,2015/04/14,賣出,34.5,60,0.126245,最大持有 60 期
廣豐,1416.TW,4,2015/01/09,買進,17.85,2015/04/15,賣出,17.8,60,-0.008734,最大持有 60 期
漢唐,2404.TW,3,2015/01/09,買進,30.75,2015/04/15,賣出,34.5,60,0.115235,最大持有 60 期
國眾,5410.TW,2,2015/01/09,買進,12.65,2015/04/15,賣出,13.35,60,0.048963,最大持有 60 期
新普,6121.TW,1,2015/01/09,買進,158.5,2015/04/15,賣出,156,60,-0.021698,最大持有 60 期
豐藝,6189.TW,1,2015/01/09,買進,36.4,2015/04/15,賣出,39.05,60,0.066362,最大持有 60 期
永裕,1323.TW,1,2015/01/12,買進,36,2015/04/16,賣出,36.85,60,0.017609,最大持有 60 期
廣豐,1416.TW,5,2015/01/12,買進,18.75,2015/04/16,賣出,18,60,-0.04583,最大持有 60 期
勤美,1532.TW,1,2015/01/12,買進,31.5,2015/04/16,賣出,31.7,60,0.000272,最大持有 60 期
東鹼,1708.TW,1,2015/01/12,買進,40,2015/04/16,賣出,42.75,60,0.062323,最大持有 60 期
建準,2421.TW,1,2015/01/12,買進,20.2,2015/04/16,賣出,21.95,60,0.080075,最大持有 60 期
新興,2605.TW,1,2015/01/12,買進,26.4,2015/04/16,賣出,24.3,60,-0.085081,最大持有 60 期
三商,2905.TW,1,2015/01/12,買進,20.1,2015/04/16,賣出,20.25,60,0.001427,最大持有 60 期
谷崧,3607.TW,1,2015/01/12,買進,59.9,2015/04/16,賣出,79.3,60,0.315854,最大持有 60 期
三聯,5493.TW,1,2015/01/12,買進,28.9,2015/04/16,賣出,30.75,60,0.057677,最大持有 60 期
豐藝,6189.TW,2,2015/01/12,買進,36.1,2015/04/16,賣出,39,60,0.07386,最大持有 60 期
居易,6216.TW,1,2015/01/12,買進,26.5,2015/04/16,賣出,31.7,60,0.1891,最大持有 60 期
普萊德,6263.TW,1,2015/01/12,買進,45.8,2015/04/16,賣出,47.8,60,0.037489,最大持有 60 期
良維,6290.TW,1,2015/01/12,買進,32.05,2015/04/16,賣出,31.65,60,-0.01842,最大持有 60 期
勤誠,8210.TW,1,2015/01/12,買進,57.1,2015/04/16,賣出,55.7,60,-0.030337,最大持有 60 期
寶成,9904.TW,1,2015/01/12,買進,39.6,2015/04/16,賣出,44.75,60,0.123272,最大持有 60 期
永裕,1323.TW,2,2015/01/13,買進,38,2015/04/17,賣出,36.65,60,-0.041347,最大持有 60 期
廣豐,1416.TW,6,2015/01/13,買進,18.25,2015/04/17,賣出,18,60,-0.019624,最大持有 60 期
中宇,1535.TW,1,2015/01/13,買進,69.3,2015/04/17,賣出,76.4,60,0.095834,最大持有 60 期
東鹼,1708.TW,2,2015/01/13,買進,39.75,2015/04/17,賣出,42.3,60,0.057796,最大持有 60 期
花仙子,1730.TW,1,2015/01/13,買進,31.2,2015/04/17,賣出,34.25,60,0.091031,最大持有 60 期
建準,2421.TW,2,2015/01/13,買進,19.9,2015/04/17,賣出,21.65,60,0.08147,最大持有 60 期
盟立,2464.TW,1,2015/01/13,買進,28.15,2015/04/17,賣出,29.9,60,0.055815,最大持有 60 期
新興,2605.TW,2,2015/01/13,買進,26.2,2015/04/17,賣出,24.1,60,-0.085648,最大持有 60 期
三商,2905.TW,2,2015/01/13,買進,20.3,2015/04/17,賣出,20.5,60,0.003861,最大持有 60 期
聚積,3527.TW,1,2015/01/13,買進,68.5,2015/04/17,賣出,69.6,60,0.009949,最大持有 60 期
智易,3596.TW,1,2015/01/13,買進,45.75,2015/04/17,賣出,43.8,60,-0.04839,最大持有 60 期
谷崧,3607.TW,2,2015/01/13,買進,58.8,2015/04/17,賣出,78.3,60,0.323786,最大持有 60 期
崇友,4506.TW,1,2015/01/13,買進,19.8,2015/04/17,賣出,22,60,0.104463,最大持有 60 期
國眾,5410.TW,3,2015/01/13,買進,12.75,2015/04/17,賣出,13.4,60,0.044672,最大持有 60 期
崇越,5434.TW,1,2015/01/13,買進,57.2,2015/04/17,賣出,62.1,60,0.079131,最大持有 60 期
三聯,5493.TW,2,2015/01/13,買進,29.25,2015/04/17,賣出,30.9,60,0.050081,最大持有 60 期
居易,6216.TW,2,2015/01/13,買進,26.9,2015/04/17,賣出,31.65,60,0.169505,最大持有 60 期
普萊德,6263.TW,2,2015/01/13,買進,46.9,2015/04/17,賣出,47.5,60,0.006699,最大持有 60 期
台郡,6269.TW,2,2015/01/13,買進,71.8,2015/04/17,賣出,109,60,0.50903,最大持有 60 期
宏正,6277.TW,1,2015/01/13,買進,83.6,2015/04/17,賣出,92.2,60,0.096256,最大持有 60 期
良維,6290.TW,2,2015/01/13,買進,31.8,2015/04/17,賣出,31.4,60,-0.018396,最大持有 60 期
勤誠,8210.TW,2,2015/01/13,買進,57.6,2015/04/17,賣出,56.2,60,-0.030171,最大持有 60 期
寶成,9904.TW,2,2015/01/13,買進,39.8,2015/04/17,賣出,43.9,60,0.09639,最大持有 60 期
永裕,1323.TW,3,2015/01/14,買進,37.65,2015/04/20,賣出,36.45,60,-0.03768,最大持有 60 期
廣豐,1416.TW,7,2015/01/14,買進,18.2,2015/04/20,賣出,17.8,60,-0.027821,最大持有 60 期
利奇,1517.TW,1,2015/01/14,買進,15.5,2015/04/20,賣出,14.75,60,-0.054135,最大持有 60 期
勤美,1532.TW,2,2015/01/14,買進,31.85,2015/04/20,賣出,31.5,60,-0.0169,最大持有 60 期
東鹼,1708.TW,3,2015/01/14,買進,40.2,2015/04/20,賣出,42.8,60,0.058282,最大持有 60 期
花仙子,1730.TW,2,2015/01/14,買進,29.85,2015/04/20,賣出,33.65,60,0.120504,最大持有 60 期
建準,2421.TW,3,2015/01/14,買進,20.2,2015/04/20,賣出,21.5,60,0.058108,最大持有 60 期
盟立,2464.TW,2,2015/01/14,買進,28.6,2015/04/20,賣出,29.8,60,0.035671,最大持有 60 期
新興,2605.TW,3,2015/01/14,買進,26.5,2015/04/20,賣出,24.2,60,-0.092284,最大持有 60 期
台產,2832.TW,1,2015/01/14,買進,22.3,2015/04/20,賣出,22.75,60,0.014047,最大持有 60 期
聯邦銀,2838.TW,1,2015/01/14,買進,10.4,2015/04/20,賣出,10.7,60,0.022682,最大持有 60 期
三商,2905.TW,3,2015/01/14,買進,20.8,2015/04/20,賣出,20.4,60,-0.025114,最大持有 60 期
聚積,3527.TW,2,2015/01/14,買進,68,2015/04/20,賣出,67.2,60,-0.01769,最大持有 60 期
智易,3596.TW,2,2015/01/14,買進,45.3,2015/04/20,賣出,43.15,60,-0.053187,最大持有 60 期
谷崧,3607.TW,3,2015/01/14,買進,61.5,2015/04/20,賣出,76.7,60,0.239884,最大持有 60 期
國眾,5410.TW,4,2015/01/14,買進,12.7,2015/04/20,賣出,13.15,60,0.029205,最大持有 60 期
崇越,5434.TW,2,2015/01/14,買進,57,2015/04/20,賣出,61.4,60,0.070728,最大持有 60 期
豐藝,6189.TW,3,2015/01/14,買進,36.4,2015/04/20,賣出,38.75,60,0.058174,最大持有 60 期
居易,6216.TW,3,2015/01/14,買進,26.7,2015/04/20,賣出,30.65,60,0.141037,最大持有 60 期
普萊德,6263.TW,3,2015/01/14,買進,47,2015/04/20,賣出,50.8,60,0.074369,最大持有 60 期
台郡,6269.TW,3,2015/01/14,買進,72.2,2015/04/20,賣出,111,60,0.528141,最大持有 60 期
良維,6290.TW,3,2015/01/14,買進,33,2015/04/20,賣出,30.55,60,-0.079695,最大持有 60 期
勤誠,8210.TW,3,2015/01/14,買進,57.6,2015/04/20,賣出,52.7,60,-0.090518,最大持有 60 期
寶成,9904.TW,3,2015/01/14,買進,40.4,2015/04/20,賣出,43,60,0.058049,最大持有 60 期
永裕,1323.TW,4,2015/01/15,買進,37.3,2015/04/21,賣出,35.8,60,-0.046,最大持有 60 期
廣豐,1416.TW,8,2015/01/15,買進,18.3,2015/04/21,賣出,17.6,60,-0.044053,最大持有 60 期
利奇,1517.TW,2,2015/01/15,買進,15.15,2015/04/21,賣出,14.8,60,-0.028974,最大持有 60 期
勤美,1532.TW,3,2015/01/15,買進,32.4,2015/04/21,賣出,31.15,60,-0.044318,最大持有 60 期
東鹼,1708.TW,4,2015/01/15,買進,40.4,2015/04/21,賣出,41.45,60,0.019843,最大持有 60 期
花仙子,1730.TW,3,2015/01/15,買進,29.45,2015/04/21,賣出,33.7,60,0.137404,最大持有 60 期
建準,2421.TW,4,2015/01/15,買進,21.1,2015/04/21,賣出,21.25,60,0.001017,最大持有 60 期
盟立,2464.TW,3,2015/01/15,買進,28.2,2015/04/21,賣出,29.7,60,0.046848,最大持有 60 期
新興,2605.TW,4,2015/01/15,買進,26.35,2015/04/21,賣出,24,60,-0.094625,最大持有 60 期
聯邦銀,2838.TW,2,2015/01/15,買進,10.35,2015/04/21,賣出,10.7,60,0.027638,最大持有 60 期
三商,2905.TW,4,2015/01/15,買進,20.75,2015/04/21,賣出,20.2,60,-0.032352,最大持有 60 期
智易,3596.TW,3,2015/01/15,買進,45.05,2015/04/21,賣出,42.35,60,-0.065568,最大持有 60 期
國眾,5410.TW,5,2015/01/15,買進,12.7,2015/04/21,賣出,13.15,60,0.029205,最大持有 60 期
崇越,5434.TW,3,2015/01/15,買進,56.8,2015/04/21,賣出,61,60,0.067487,最大持有 60 期
居易,6216.TW,4,2015/01/15,買進,26.5,2015/04/21,賣出,29.9,60,0.121542,最大持有 60 期
普萊德,6263.TW,4,2015/01/15,買進,47,2015/04/21,賣出,49.05,60,0.037423,最大持有 60 期
宏正,6277.TW,2,2015/01/15,買進,83.5,2015/04/21,賣出,89.7,60,0.067796,最大持有 60 期
良維,6290.TW,4,2015/01/15,買進,34.5,2015/04/21,賣出,30,60,-0.1356,最大持有 60 期
勤誠,8210.TW,4,2015/01/15,買進,58,2015/04/21,賣出,50.3,60,-0.13795,最大持有 60 期
寶成,9904.TW,4,2015/01/15,買進,41.2,2015/04/21,賣出,41.7,60,0.006012,最大持有 60 期
利奇,1517.TW,3,2015/01/16,買進,15.1,2015/04/22,賣出,14.8,60,-0.025759,最大持有 60 期
勤美,1532.TW,4,2015/01/16,買進,32.65,2015/04/22,賣出,31.2,60,-0.050122,最大持有 60 期
東鹼,1708.TW,5,2015/01/16,買進,40.5,2015/04/22,賣出,42.75,60,0.049164,最大持有 60 期
建準,2421.TW,5,2015/01/16,買進,20.65,2015/04/22,賣出,21.9,60,0.054148,最大持有 60 期
新興,2605.TW,5,2015/01/16,買進,26.5,2015/04/22,賣出,23.75,60,-0.109158,最大持有 60 期
聯邦銀,2838.TW,3,2015/01/16,買進,10.35,2015/04/22,賣出,10.65,60,0.022821,最大持有 60 期
三商,2905.TW,5,2015/01/16,買進,20.75,2015/04/22,賣出,20.2,60,-0.03241,最大持有 60 期
聚積,3527.TW,3,2015/01/16,買進,70.2,2015/04/22,賣出,63.9,60,-0.095285,最大持有 60 期
智易,3596.TW,4,2015/01/16,買進,44.7,2015/04/22,賣出,42.7,60,-0.050524,最大持有 60 期
國眾,5410.TW,6,2015/01/16,買進,12.6,2015/04/22,賣出,13,60,0.025565,最大持有 60 期
豐藝,6189.TW,4,2015/01/16,買進,36.25,2015/04/22,賣出,38.35,60,0.051593,最大持有 60 期
普萊德,6263.TW,5,2015/01/16,買進,48.5,2015/04/22,賣出,49.9,60,0.022647,最大持有 60 期
良維,6290.TW,5,2015/01/16,買進,35.2,2015/04/22,賣出,30,60,-0.152885,最大持有 60 期
勤誠,8210.TW,5,2015/01/16,買進,57.7,2015/04/22,賣出,50.6,60,-0.128403,最大持有 60 期
寶成,9904.TW,5,2015/01/16,買進,41,2015/04/22,賣出,42.7,60,0.035205,最大持有 60 期
勤美,1532.TW,5,2015/01/19,買進,33,2015/04/23,賣出,31.1,60,-0.063239,最大持有 60 期
新興,2605.TW,6,2015/01/19,買進,26.2,2015/04/23,賣出,23.85,60,-0.095154,最大持有 60 期
普萊德,6263.TW,6,2015/01/19,買進,48.4,2015/04/23,賣出,53.3,60,0.094493,最大持有 60 期
良維,6290.TW,6,2015/01/19,買進,35.1,2015/04/23,賣出,30.6,60,-0.133432,最大持有 60 期
寶成,9904.TW,6,2015/01/19,買進,40.9,2015/04/23,賣出,43.85,60,0.065773,最大持有 60 期
勤美,1532.TW,6,2015/01/20,買進,32.7,2015/04/24,賣出,31.25,60,-0.050068,最大持有 60 期
良維,6290.TW,7,2015/01/20,買進,35.4,2015/04/24,賣出,30.15,60,-0.153426,最大持有 60 期
寶成,9904.TW,7,2015/01/20,買進,42.15,2015/04/24,賣出,44.3,60,0.0447,最大持有 60 期
勤美,1532.TW,7,2015/01/21,買進,32.7,2015/04/27,賣出,31.6,60,-0.039433,最大持有 60 期
東鹼,1708.TW,6,2015/01/21,買進,40,2015/04/27,賣出,45.25,60,0.124456,最大持有 60 期
東和鋼鐵,2006.TW,1,2015/01/21,買進,23.95,2015/04/27,賣出,24.1,60,0.000235,最大持有 60 期
盟立,2464.TW,4,2015/01/21,買進,28,2015/04/27,賣出,29.9,60,0.061454,最大持有 60 期
智易,3596.TW,5,2015/01/21,買進,44.8,2015/04/27,賣出,43.65,60,-0.031527,最大持有 60 期
三聯,5493.TW,3,2015/01/21,買進,29.25,2015/04/27,賣出,31.9,60,0.084059,最大持有 60 期
豐藝,6189.TW,5,2015/01/21,買進,36.2,2015/04/27,賣出,39.05,60,0.072276,最大持有 60 期
尼得科超眾,6230.TW,1,2015/01/21,買進,87.9,2015/04/27,賣出,93.3,60,0.055067,最大持有 60 期
良維,6290.TW,8,2015/01/21,買進,35.4,2015/04/27,賣出,29.9,60,-0.160417,最大持有 60 期
寶成,9904.TW,8,2015/01/21,買進,42,2015/04/27,賣出,44.3,60,0.048443,最大持有 60 期
永裕,1323.TW,5,2015/01/22,買進,37.2,2015/04/28,賣出,36.5,60,-0.024641,最大持有 60 期
南僑,1702.TW,2,2015/01/22,買進,58,2015/04/28,賣出,68.8,60,0.179063,最大持有 60 期
