商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,報酬率,訊息
廣豐,1416.TW,1,2015/01/06,買進,17.8,2015/04/10,賣出,17.95,60,0.002351,最大持有 60 期
漢唐,2404.TW,1,2015/01/06,買進,30.4,2015/04/10,賣出,34.1,60,0.114963,最大持有 60 期
新普,6121.TW,1,2015/01/06,買進,155.5,2015/04/10,賣出,158.5,60,0.013234,最大持有 60 期
廣豐,1416.TW,2,2015/01/07,買進,17.6,2015/04/13,賣出,17.95,60,0.013768,最大持有 60 期
漢唐,2404.TW,2,2015/01/07,買進,30.2,2015/04/13,賣出,34.3,60,0.12898,最大持有 60 期
全科,3209.TW,1,2015/01/07,買進,30.5,2015/04/13,賣出,33.8,60,0.101584,最大持有 60 期
中菲行,5609.TW,1,2015/01/07,買進,24.45,2015/04/13,賣出,22.1,60,-0.101497,最大持有 60 期
新普,6121.TW,2,2015/01/07,買進,157,2015/04/13,賣出,158.5,60,0.003506,最大持有 60 期
廣豐,1416.TW,3,2015/01/08,買進,17.6,2015/04/14,賣出,17.9,60,0.010995,最大持有 60 期
漢唐,2404.TW,3,2015/01/08,買進,30.45,2015/04/14,賣出,34.5,60,0.126245,最大持有 60 期
全科,3209.TW,2,2015/01/08,買進,30.95,2015/04/14,賣出,33.9,60,0.088737,最大持有 60 期
新普,6121.TW,3,2015/01/08,買進,158.5,2015/04/14,賣出,158.5,60,-0.006,最大持有 60 期
台郡,6269.TW,1,2015/01/08,買進,73.5,2015/04/14,賣出,100,60,0.352343,最大持有 60 期
廣豐,1416.TW,4,2015/01/09,買進,17.85,2015/04/15,賣出,17.8,60,-0.008734,最大持有 60 期
漢唐,2404.TW,4,2015/01/09,買進,30.75,2015/04/15,賣出,34.5,60,0.115235,最大持有 60 期
全科,3209.TW,3,2015/01/09,買進,30.8,2015/04/15,賣出,33.65,60,0.085998,最大持有 60 期
中菲行,5609.TW,2,2015/01/09,買進,24.7,2015/04/15,賣出,22.15,60,-0.108639,最大持有 60 期
新普,6121.TW,4,2015/01/09,買進,158.5,2015/04/15,賣出,156,60,-0.021698,最大持有 60 期
台郡,6269.TW,2,2015/01/09,買進,73,2015/04/15,賣出,102,60,0.388837,最大持有 60 期
永裕,1323.TW,1,2015/01/12,買進,36,2015/04/16,賣出,36.85,60,0.017609,最大持有 60 期
廣豐,1416.TW,5,2015/01/12,買進,18.75,2015/04/16,賣出,18,60,-0.04583,最大持有 60 期
利奇,1517.TW,1,2015/01/12,買進,14.4,2015/04/16,賣出,14.85,60,0.025082,最大持有 60 期
勤美,1532.TW,1,2015/01/12,買進,31.5,2015/04/16,賣出,31.7,60,0.000272,最大持有 60 期
東鹼,1708.TW,1,2015/01/12,買進,40,2015/04/16,賣出,42.75,60,0.062323,最大持有 60 期
盟立,2464.TW,1,2015/01/12,買進,27.8,2015/04/16,賣出,29.9,60,0.06913,最大持有 60 期
三商,2905.TW,1,2015/01/12,買進,20.1,2015/04/16,賣出,20.25,60,0.001427,最大持有 60 期
智易,3596.TW,1,2015/01/12,買進,43.9,2015/04/16,賣出,44,60,-0.003609,最大持有 60 期
谷崧,3607.TW,1,2015/01/12,買進,59.9,2015/04/16,賣出,79.3,60,0.315854,最大持有 60 期
