商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,報酬率,訊息
漢唐,2404.TW,1,2015/01/06,買進,30.4,2015/04/10,賣出,34.1,60,0.114963,最大持有 60 期
台灣大,3045.TW,1,2015/01/06,買進,104,2015/04/10,賣出,108,60,0.032164,最大持有 60 期
國眾,5410.TW,1,2015/01/06,買進,12.65,2015/04/10,賣出,13.45,60,0.056794,最大持有 60 期
漢唐,2404.TW,2,2015/01/08,買進,30.45,2015/04/14,賣出,34.5,60,0.126245,最大持有 60 期
漢唐,2404.TW,3,2015/01/09,買進,30.75,2015/04/15,賣出,34.5,60,0.115235,最大持有 60 期
台灣大,3045.TW,2,2015/01/09,買進,104.5,2015/04/15,賣出,104.5,60,-0.005963,最大持有 60 期
國眾,5410.TW,2,2015/01/09,買進,12.65,2015/04/15,賣出,13.35,60,0.048963,最大持有 60 期
豐藝,6189.TW,1,2015/01/09,買進,36.4,2015/04/15,賣出,39.05,60,0.066362,最大持有 60 期
勤美,1532.TW,1,2015/01/12,買進,31.5,2015/04/16,賣出,31.7,60,0.000272,最大持有 60 期
中華化,1727.TW,1,2015/01/12,買進,19.85,2015/04/16,賣出,18.75,60,-0.061075,最大持有 60 期
喬山,1736.TW,1,2015/01/12,買進,73.8,2015/04/16,賣出,80.6,60,0.085539,最大持有 60 期
友訊,2332.TW,1,2015/01/12,買進,18.8,2015/04/16,賣出,16.6,60,-0.122383,最大持有 60 期
建準,2421.TW,1,2015/01/12,買進,20.2,2015/04/16,賣出,21.95,60,0.080075,最大持有 60 期
神基,3005.TW,1,2015/01/12,買進,19.15,2015/04/16,賣出,19.2,60,-0.003283,最大持有 60 期
台灣大,3045.TW,3,2015/01/12,買進,105,2015/04/16,賣出,104,60,-0.015375,最大持有 60 期
谷崧,3607.TW,1,2015/01/12,買進,59.9,2015/04/16,賣出,79.3,60,0.315854,最大持有 60 期
三聯,5493.TW,1,2015/01/12,買進,28.9,2015/04/16,賣出,30.75,60,0.057677,最大持有 60 期
鈞寶,6155.TW,1,2015/01/12,買進,23.15,2015/04/16,賣出,24.7,60,0.060535,最大持有 60 期
