商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,報酬率,訊息
漢唐,2404.TW,1,2015/01/06,買進,30.4,2015/04/10,賣出,34.1,60,0.114963,最大持有 60 期
國建,2501.TW,1,2015/01/06,買進,16.6,2015/04/10,賣出,18.9,60,0.131712,最大持有 60 期
台灣大,3045.TW,1,2015/01/06,買進,104,2015/04/10,賣出,108,60,0.032164,最大持有 60 期
漢唐,2404.TW,2,2015/01/07,買進,30.2,2015/04/13,賣出,34.3,60,0.12898,最大持有 60 期
國建,2501.TW,2,2015/01/07,買進,16.5,2015/04/13,賣出,19.45,60,0.171747,最大持有 60 期
台灣大,3045.TW,2,2015/01/07,買進,100.5,2015/04/13,賣出,110.5,60,0.092915,最大持有 60 期
全科,3209.TW,1,2015/01/07,買進,30.5,2015/04/13,賣出,33.8,60,0.101584,最大持有 60 期
胡連,6279.TW,1,2015/01/07,買進,112.5,2015/04/13,賣出,142,60,0.254726,最大持有 60 期
漢唐,2404.TW,3,2015/01/08,買進,30.45,2015/04/14,賣出,34.5,60,0.126245,最大持有 60 期
國建,2501.TW,3,2015/01/08,買進,16.6,2015/04/14,賣出,19.4,60,0.161694,最大持有 60 期
台灣大,3045.TW,3,2015/01/08,買進,101.5,2015/04/14,賣出,109,60,0.06755,最大持有 60 期
全科,3209.TW,2,2015/01/08,買進,30.95,2015/04/14,賣出,33.9,60,0.088737,最大持有 60 期
胡連,6279.TW,2,2015/01/08,買進,116,2015/04/14,賣出,145.5,60,0.246713,最大持有 60 期
漢唐,2404.TW,4,2015/01/09,買進,30.75,2015/04/15,賣出,34.5,60,0.115235,最大持有 60 期
國建,2501.TW,4,2015/01/09,買進,16.7,2015/04/15,賣出,19.05,60,0.133874,最大持有 60 期
台灣大,3045.TW,4,2015/01/09,買進,104.5,2015/04/15,賣出,104.5,60,-0.005963,最大持有 60 期
全科,3209.TW,3,2015/01/09,買進,30.8,2015/04/15,賣出,33.65,60,0.085998,最大持有 60 期
