商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,報酬率,訊息
智邦,2345.TW,1,2015/01/06,買進,15.9,2015/04/13,賣出,16.25,60,0.017903,最大持有 60 期
漢唐,2404.TW,1,2015/01/06,買進,30.4,2015/04/13,賣出,34.3,60,0.123762,最大持有 60 期
台灣大,3045.TW,1,2015/01/06,買進,104.0,2015/04/13,賣出,108.5,60,0.039049,最大持有 60 期
益登,3048.TW,1,2015/01/06,買進,28.0,2015/04/13,賣出,30.2,60,0.074254,最大持有 60 期
國眾,5410.TW,1,2015/01/06,買進,12.65,2015/04/13,賣出,13.4,60,0.055004,最大持有 60 期
擎邦,6122.TW,1,2015/01/06,買進,11.4,2015/04/13,賣出,10.15,60,-0.113263,最大持有 60 期
廣明,6188.TW,1,2015/01/06,買進,36.1,2015/04/13,賣出,33.75,60,-0.068823,最大持有 60 期
迅德,6292.TW,1,2015/01/06,買進,29.3,2015/04/13,賣出,35.75,60,0.215318,最大持有 60 期
揚智,3041.TW,1,2015/01/08,買進,26.3,2015/04/15,賣出,23.75,60,-0.10057,最大持有 60 期
豐藝,6189.TW,1,2015/01/09,買進,36.4,2015/04/16,賣出,39.1,60,0.069875,最大持有 60 期
海韻電,6203.TW,1,2015/01/12,買進,50.5,2015/04/17,賣出,46.8,60,-0.077004,最大持有 60 期
普萊德,6263.TW,1,2015/01/12,買進,45.8,2015/04/17,賣出,47.7,60,0.037372,最大持有 60 期
大世科,8099.TW,1,2015/01/12,買進,23.8,2015/04/17,賣出,25.15,60,0.052464,最大持有 60 期
中宇,1535.TW,1,2015/01/13,買進,69.3,2015/04/20,賣出,76.2,60,0.095164,最大持有 60 期
花仙子,1730.TW,1,2015/01/13,買進,31.2,2015/04/20,賣出,34.35,60,0.096463,最大持有 60 期
聚積,3527.TW,1,2015/01/13,買進,68.5,2015/04/20,賣出,69.6,60,0.011983,最大持有 60 期
崇友,4506.TW,1,2015/01/13,買進,19.8,2015/04/20,賣出,22.0,60,0.106677,最大持有 60 期
豐謙,5523.TW,1,2015/01/13,買進,18.25,2015/04/20,賣出,14.6,60,-0.203265,最大持有 60 期
宏正,6277.TW,1,2015/01/13,買進,83.6,2015/04/20,賣出,91.5,60,0.090119,最大持有 60 期
生達,1720.TW,1,2015/01/14,買進,37.95,2015/04/21,賣出,37.75,60,-0.00925,最大持有 60 期
緯創,3231.TW,1,2015/01/16,買進,30.45,2015/04/23,賣出,26.4,60,-0.136492,最大持有 60 期
矽瑪,3511.TW,1,2015/01/16,買進,19.6,2015/04/23,賣出,17.9,60,-0.090384,最大持有 60 期
東和鋼鐵,2006.TW,1,2015/01/21,買進,23.95,2015/04/28,賣出,24.1,60,0.002242,最大持有 60 期
盛餘,2029.TW,1,2015/01/22,買進,20.55,2015/04/29,賣出,21.9,60,0.061419,最大持有 60 期
大成,1210.TW,1,2015/01/28,買進,27.4,2015/05/06,賣出,24.8,60,-0.098472,最大持有 60 期
德昌,5511.TW,1,2015/01/29,買進,27.3,2015/05/07,賣出,28.1,60,0.02518,最大持有 60 期
皇翔,2545.TW,1,2015/01/30,買進,46.5,2015/05/08,賣出,43.05,60,-0.077934,最大持有 60 期
信邦,3023.TW,1,2015/02/06,買進,46.9,2015/05/15,賣出,53.7,60,0.140384,最大持有 60 期
同亨,5490.TW,1,2015/02/06,買進,58.0,2015/05/15,賣出,79.9,60,0.372086,最大持有 60 期
技嘉,2376.TW,1,2015/02/10,買進,39.5,2015/05/19,賣出,35.15,60,-0.113708,最大持有 60 期
文曄,3036.TW,1,2015/02/10,買進,48.05,2015/05/19,賣出,46.6,60,-0.03405,最大持有 60 期
聯茂,6213.TW,1,2015/02/10,買進,25.2,2015/05/19,賣出,24.65,60,-0.025766,最大持有 60 期
慶生,6210.TW,1,2015/02/11,買進,48.6,2015/05/20,賣出,66.2,60,0.356705,最大持有 60 期
匯僑,2904.TW,1,2015/02/12,買進,27.45,2015/05/21,賣出,28.0,60,0.015949,最大持有 60 期
擎亞,8096.TW,1,2015/02/12,買進,18.1,2015/05/21,賣出,17.3,60,-0.048024,最大持有 60 期
亞信,3169.TW,1,2015/02/13,買進,37.05,2015/05/22,賣出,30.6,60,-0.177401,最大持有 60 期
大宇,1445.TW,1,2015/02/24,買進,9.1,2015/05/25,賣出,10.5,60,0.149245,最大持有 60 期
綠意,2596.TW,1,2015/02/24,買進,18.1,2015/05/25,賣出,18.0,60,-0.009499,最大持有 60 期
日電貿,3090.TW,1,2015/02/24,買進,26.5,2015/05/25,賣出,27.0,60,0.014816,最大持有 60 期
全科,3209.TW,1,2015/03/03,買進,31.75,2015/05/29,賣出,32.55,60,0.021094,最大持有 60 期
崇越,5434.TW,1,2015/03/03,買進,61.0,2015/05/29,賣出,60.6,60,-0.010534,最大持有 60 期
廣積,8050.TW,1,2015/03/03,買進,53.8,2015/05/29,賣出,69.0,60,0.277417,最大持有 60 期
泰銘,9927.TW,1,2015/03/03,買進,38.25,2015/05/29,賣出,37.95,60,-0.011818,最大持有 60 期
宏亞,1236.TW,1,2015/03/04,買進,25.1,2015/06/01,賣出,25.7,60,0.019788,最大持有 60 期
融程電,3416.TW,1,2015/03/06,買進,63.0,2015/06/03,賣出,58.6,60,-0.073588,最大持有 60 期
翔名,8091.TW,1,2015/03/09,買進,65.6,2015/06/04,賣出,79.6,60,0.208532,最大持有 60 期
豐興,2015.TW,1,2015/04/09,買進,40.35,2015/07/06,賣出,40.0,60,-0.012614,最大持有 60 期
華票,2820.TW,1,2015/04/09,買進,11.75,2015/07/06,賣出,11.2,60,0.009254,最大持有 60 期
四維航,5608.TW,1,2015/04/13,買進,18.35,2015/07/08,賣出,16.05,60,-0.128831,最大持有 60 期
全坤建,2509.TW,1,2015/04/14,買進,24.7,2015/07/09,賣出,24.3,60,-0.02013,最大持有 60 期
五鼎,1733.TW,1,2015/04/23,買進,54.8,2015/07/21,賣出,42.5,60,-0.182031,最大持有 60 期
名軒,1442.TW,1,2015/05/11,買進,25.7,2015/08/05,賣出,20.8,60,-0.193911,最大持有 60 期
禾瑞亞,3556.TW,1,2015/05/11,買進,75.2,2015/08/05,賣出,51.8,60,-0.236556,最大持有 60 期
震旦行,2373.TW,1,2015/05/12,買進,54.1,2015/08/06,賣出,51.5,60,0.003261,最大持有 60 期
互盛電,2433.TW,1,2015/05/12,買進,46.65,2015/08/06,賣出,44.1,60,0.011716,最大持有 60 期
慧洋-KY,2637.TW,1,2015/06/04,買進,42.0,2015/08/31,賣出,37.0,60,-0.058088,最大持有 60 期
玉山金,2884.TW,1,2015/06/09,買進,20.6,2015/09/03,賣出,19.65,60,0.055937,最大持有 60 期
三聯,5493.TW,1,2015/06/11,買進,34.9,2015/09/07,賣出,30.15,60,-0.042545,最大持有 60 期
飛捷,6206.TW,1,2015/06/18,買進,129.0,2015/09/14,賣出,92.5,60,-0.206457,最大持有 60 期
翔名,8091.TW,2,2015/06/26,買進,79.0,2015/09/21,賣出,61.0,60,-0.178543,最大持有 60 期
